244 - C. INMOBILIARIO ,,,,,,,,
CARRERA,NOMBRE CORTO,FECHA,CÁTEDRA,Hora,Tipo Examen,Monitoreo,Material Permitido,Observaciones
244,INTR.MATEM.FINANC.,5/6/2025,-,18:00,,,,
