,,,"Escuela Universitaria
de Educación Física
Turno Extraordinario - Mayo 2025"
,,,
,,,
,,,
,,,
,Carreras,,
,186,Licenciatura en Entrenamiento Deportivo (CCC),
,187,Licenciatura en Lenguajes Expresivos (CCC),
,197,Licenciatura en Educación Física (CCC),
