,,,"Facultad de Turismo
Turno Especial - Abril 2025"
,,,
,,,
,,,
,,,
,Carreras,,
,86,LICENCIATURA EN TURISMO,
,378,"TECNICATURA UNIVERSITARIA EN ORGANIZACIÓN Y
 DIRECCIÓN DE EVENTOS Y CEREMONIAL",
